"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"1505";"Nuits irlandaises (Harlequin Audace)";"Harlequin";"Nuits irlandaises, Kate Hoffmann Malgré l'insistance de sa grand-mère qui lui répète sans cesse que c'est en Irlande qu'elle trouvera l'homme de sa vie, Claire O'Connor n'y a jamais mis les pieds : qu'irait-elle faire dans ce pays lointain, pétri de vieilles légendes auxquelles elle ne croit pas ? Pourtant, lorsque son fiancé lui annonce qu'il la quitte, Claire décide, sur un coup de tête, de s'envoler pour la petite île irlandaise où sont nés ses ancêtres afin de s'y changer les idées. Mais lorsqu'elle y rencontre Will Donovan, le gérant de la seule auberge de l'île, elle a tout à coup le sentiment de se trouver prisonnière de l'étrange envoûtement irlandais dont lui parlait sa grand-mère. Car cet homme au regard sombre, à la carrure d'athlète et à la mâchoire carrée, fait aussitôt naître en elle les pensées les plus troublantes. Sauf que ce n'est pas d'amour que lui parlent ces pensées. Mais de sensualité, de corps à corps enfiévrés et de vertiges sans fin dans l'intimité de la nuit.";"Fiction";"fr";"Kate Hoffmann"
"1506";"Cahiers";"Grasset";"Giraudoux chez les Renaud-Barrault. Trentième volume des Cahiers de Jean Giraudoux.";"Fiction";"fr";"Jean Giraudoux"
"1507";"Tartarin de Tarascon";"Le Livre de Poche";"Édition enrichie (Préface, notes, dossier sur l'œuvre, chronologie et bibliographie) Héros de la petite ville de Tarascon, Tartarin ne rêve que d'aventure et de chasse au lion. Mais que l'Afrique est loin pour qui n'a jamais quitté sa maison ! L'intrépide chasseur s'embarque enfin : parviendra-t-il à débusquer un fauve du désert ? Personnage burlesque mais si attachant, Tartarin est le type même du Méridional hâbleur qui se dupe lui-même autant qu'il dupe les autres. Où se rejoignent cocasserie et vérité, mais « une vérité d'outre-Loire qui enfle, exagère, ne ment jamais, et tarasconne tout le temps ». Sans jamais se départir d'une réelle tendresse pour son personnage, Daudet a déployé dans Tartarin de Tarascon toutes les ressources de sa verve et de son ironie, créant ainsi l'un des plus grands types comiques de la littérature française. Edition de Marie-Ange Voisin-Fougère.";"Fiction";"fr";"Alphonse Daudet"
"1509";"C'est pour rire vol 3 : Ca déconne un max !";"Ixelles Editions";"J’adore être pris en flagrant délire ! disait Raymond Devos. Vous aussi vous aimez les franches rigolades ? Et vous voulez connaître les dernières blagues à la mode ? Alors, ne manquez pas ce nouvel opus de C’est pour rire : Ca déconne un max ! Pour vos soirées entre amis ou en famille, c’est la détente garantie ! A part votre ado – qui décidément ne comprend rien à rien ! – tout le monde devrait bien se poiler. Avec ""C’est pour rire, ça déconne un max !"", plus de 1000 histoires drôles et des dizaines d’illustrations humoristiques, un best of de ce qui se fait de mieux en matière de blagues, blondes, sport, hommes/femmes, médecine, animaux, boulot, actu, religions, inclassables, etc. A propos de l'auteur Claude Mocchi a réuni dans ce recueil les meilleures histoires drôles du moment. Un livre publié par Ixelles éditions Retrouvez-nous sur www.ixelles-editions.com Contactez-nous à l'adresse contact@ixelles-editions.com";"Fiction";"fr";"Claude Mocchi"
"1510";"Un Noël très sexy 1, Amanda";"Harlequin";"Noël oblige, pas moyen pour Amanda, Cathy Ann et Tatiana d’échapper au traditionnel échange de cadeaux entre collègues. Mais, c’est la règle, la personne qui reçoit le présent ne doit jamais savoir qui le lui a fait : une occasion en or de pimenter un peu les fêtes de fin d’année ! Aussi Amanda se décide-t-elle à assortir son cadeau à Christian Miller d’un message particulièrement audacieux, sûre que cet homme qui la fait fantasmer depuis des mois ne saura jamais que le présent vient d’elle. Mais peut-on vraiment prévoir ce que la magie de Noël nous réserve ?";"Fiction";"fr";"Janelle Denison"
"1511";"Angle Mort numéro 2";"Angle Mort";"Le collectif Angle Mort est composé d’éditeurs, d’écrivains, de traducteurs et de scientifiques partageant une même conception de la science-fiction ; celle d’une méthode d’exploration de soi et de notre environnement. La revue numérique Angle Mort publie des nouvelles contemporaines, françaises ou traduites de l’anglais, qui font la science-fiction d’aujourd’hui, offrent un nouveau regard sur le monde et – c'est notre conviction – nous permet de mieux préparer demain. Pour ce numéro 2, retrouvez 4 récits de science-fiction inédits écrits par des auteurs contemporains ainsi que les interviews des contributeurs.";"Fiction";"fr";"Benjamin Rosenbaum,André Ourednik,Adam-Troy Castro,David Calvo"
"1512";"Une nuit de désir (Harlequin Audace)";"Harlequin";"Une nuit de désir, Samatha Hunter Lauren se regarda dans le grand miroir en pied de la chambre du motel. Elle avait bien fait d'acheter ces sous-vêtements de dentelle noire, qui la mettaient superbement en valeur. L'image du séduisant inconnu en smoking qu'elle avait pris en stop un peu plus tôt, et qui l'avait invitée à le rejoindre dans la chambre voisine, s'imposa soudain à son esprit. La main posée sur sa hanche dans un geste très suggestif, elle adressa un sourire mutin à la femme sexy et désirable qui se reflétait dans la glace. Et si, pour une fois, elle oubliait sa timidité et laissait libre cours à ses fantasmes ? Après tout, elle ne reverrait jamais cet homme...";"Fiction";"fr";"Samantha Hunter"
"1513";"Le récit d'une terreur passagère";"Les Éditions Numeriklivres";"« J’étais plongé dans un lourd sommeil qui m’entraînait peu à peu vers ses abysses lorsque, de l’obscurité, traversa un cri, appelant mon nom, qui grinça sur tous les murs et toutes les fenêtres. Ce cri traversa mon corps d’un long frisson et retint ma respiration. » Lorsqu'il perd complètement son inspiration, un auteur décide de se retirer des quatre murs de l'appartement qui le rend malade. Le voyage qu’il entreprend lui ramène certains moments de son enfance et la nature dans laquelle il s’enfonce lui rappelle celle autour de laquelle il a grandi. Entre les arbres, il s’installe et se crée une ellipse temporaire. Mais la retraite qu'il prévoyait paisible l'oblige à confronter des coins obscurs sur lesquels il ne croyait pas avoir de pouvoir. Devrait-on seulement baliser l’image de la peur à un couteau de cuisine brandi dans les airs, devant un rideau de douche et sur un fond de musique angoissante ? Ou d’un enfant qui court dans un labyrinthe de verdure en pleine nuit avec, à ses trousses, la démence d’un père possédé ? Ce sont certes des images fortes, voire cultes, fabriquées avec soin par les grands maîtres de l’épouvante. Mais ces images ne peuvent à elles seules résumer la peur, tant celle-ci peut se présenter sous des visages bien différents. D’ailleurs, ne faudrait-il pas faire la différence entre les peurs transmises par la pensée collective et celles générées par notre pensée intime ? Lorsque l'inquiétude mène au frisson et que l'indicible apporte l'effroi à celui qui choisit sciemment l'éloignement, nulle complainte ne saurait le sauver, sinon lui-même. Vivez un rêve éveillé, un songe tourmenté avec ce récit d’une terreur passagère. À propos de l’auteur Charles Dionne est un auteur québécois. Le récit d’une terreur passagère est son premier roman. Parallèlement à ses études en littérature à Montréal, il travaille sur différents projets de recherche sur la littérature québécoise et française.";"Fiction";"fr";"Charles Dionne"
"1514";"Un Noël très sexy 2, Cathy";"Harlequin";"Noël oblige, pas moyen pour Amanda, Cathy Ann et Tatiana d’échapper au traditionnel échange de cadeaux entre collègues. Mais, c’est la règle, la personne qui reçoit le présent ne doit jamais savoir qui le lui a fait : une occasion en or de pimenter un peu les fêtes de fin d’année ! Cathy Ann est certaine de savoir qui lui a choisi le magnifique ensemble de lingerie qui l’attendait sous le sapin, et elle meurt d’impatience de l’étrenner avec lui. Mais peut-on vraiment prévoir ce que la magie de Noël nous réserve ?";"Fiction";"fr";"Isabel Sharpe"
"1515";"Un Noël entre ses bras";"Harlequin";"Nuit d’audace, Vicki Lewis Thompson Lorsque Lacey reconnaît l’homme qui vient de trouver refuge dans son chalet, en pleine tempête, elle sent que cette nuit de Noël va peut-être être bien plus excitante que prévu. Car, puisqu’elle est coincée pour de longues heures avec Tucker Rankin, l'homme le plus sexy de la planète, c’est le moment ou jamais de découvrir si sa réputation d'amant hors pair est méritée... Parenthèse de feu, Jennifer LaBrecque Good Riddance, Alaska. Pour Jared, fatigué de la frénésie newyorkaise, rien ne pourrait être plus reposant que ce microscopique village perdu au milieu de nulle part, où il est venu célébrer le mariage de son meilleur ami. Du moins le croit-il. Car dès qu’il croise le regard de feu de Theodora Monroe, il sent tous ses sens passer en alerte rouge... Une surprise très sexy, Rhonda Nelson Bénéficiant d’une permission inattendue, Silas Davenport décide de faire une surprise à ses parents, et de les rejoindre pour Noël. Mais en arrivant dans la maison familiale, il comprend, dépité, que ses parents sont partis pour les vacances. Et ce n’est pas tout. Car ils ont prêté la maison à leur voisine, Delphie Moreau, une jeune femme incroyablement désirable dont ses parents lui ont parlé bien des fois. Et qu’il surprend, nue, dans la baignoire où elle se prélasse... La fièvre de Noël, Jacquie d’Alessandro Toni sait bien que la plupart de ses amies se damneraient pour passer la nuit avec un pompier. Sauf que voilà, elle sait ce qu’il en coûte de fréquenter les soldats du feu de trop près, et ce n’est pas parce que le très séduisant lieutenant Bradley Griffin semble décidé à tout faire pour la séduire qu’elle va renoncer à ses principes. Même s’il éveille en elle un feu irrésistible...";"Fiction";"fr";"Vicki Lewis Thompson,Jennifer LaBrecque,Rhonda Nelson,Jacquie D'Alessandro"
"1517";"Secrets délices (Harlequin Audace)";"Harlequin";"Secrets délices, Sarah Mayberry Grand, fort, des épaules musclées et un visage parfait : Lucas Grant est incroyablement séduisant, encore plus beau que sur les photos des magazines où Sophie l'a souvent admiré. Bien trop troublée par sa présence, elle se demande si elle n'a pas accepté un peu vite de suivre ce play-boy dans une villa aussi idyllique qu'isolée afin d'être sa cuisinière pendant un mois. Car tout en lui respire la sensualité, et la manière dont il la regarde ne laisse aucun doute sur la nature des recettes qu'il aimerait expérimenter avec elle... Mais après tout, et même si ce n'est pas dans ses habitudes, c'est peut-être une occasion rêvée d'explorer ses fantasmes les plus secrets dans les bras d'un amant hors pair.";"Fiction";"fr";"Sarah Mayberry"
"1518";"Babel nuit";"Editions Gallimard";"Aux origines de ce récit, un inavouable secret d’enfance : le narrateur n’a jamais compris un traître mot de ce que lui disaient ses parents, chacun usant d’une langue non seulement étrangère, mais d’origine inconnue. À l’âge de trente-huit ans, lors d’une visite à sa mère, tout bascule : plusieurs mots sortis de sa bouche à elle font soudain sens. Troublé par cette révélation, il prend la fuite, recherchant qui voudra prêter une oreille attentive à son histoire. Le voilà qui dérive dans la nuit parisienne, embrasse une belle endormie au fond d’un chantier, dérobe une truffe blanche dans un hôtel cinq étoiles, subit malgré lui une IRM à l’hôpital et ressuscite un amour oublié mais salvateur. Avec ce troisième roman en forme d’autofiction, Philippe Garnier a choisi de partir d’une hypothèse biographique impossible. La rigueur loufoque et la gravité désinvolte de Babel nuit nous poussent à accepter la part de non-sens de cette quête existentielle, et même à y éprouver une inquiétante familiarité.";"Fiction";"fr";"Philippe Garnier"
